0,4265625 | [TestNr=253; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=1E-05];
0,4265625 | [TestNr=254; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=0,0001];
0,4265625 | [TestNr=255; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=0,001];
0,4265625 | [TestNr=256; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=0,003];
0,4434375 | [TestNr=257; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=0,006];
0,4546875 | [TestNr=258; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=0,01];
0,438125 | [TestNr=259; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=0,02];
0,4309375 | [TestNr=260; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=0,03];
0,414375 | [TestNr=261; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=0,04];
0,3909375 | [TestNr=262; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=0,05];
0,4321875 | [TestNr=263; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=0,06];
0,4490625 | [TestNr=264; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=0,1];
0,4128125 | [TestNr=265; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=0,2];
0,4584375 | [TestNr=266; FreqBandWidth=8; ValueThreshold=0,15; MaxSquaredError=0,3];
0,4265625 | [TestNr=267; FreqBandWidth=8; ValueThreshold=0,2; MaxSquaredError=1E-05];
0,4265625 | [TestNr=268; FreqBandWidth=8; ValueThreshold=0,2; MaxSquaredError=0,0001];
0,4265625 | [TestNr=269; FreqBandWidth=8; ValueThreshold=0,2; MaxSquaredError=0,001];
